numpy.ndarray.__deepcopy__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ndarray.__deepcopy__.html#numpy.ndarray.__deepcopy__,numpy,method,numpy.ma.MaskedArray
numpy.ndarray.__copy__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ndarray.__copy__.html#numpy.ndarray.__copy__,numpy,method,numpy.ndarray
numpy.vectorize.__call__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.vectorize.__call__.html#numpy.vectorize.__call__,numpy,method,numpy.ma.MaskedArray
numpy.polynomial.legendre.Legendre.__call__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.legendre.Legendre.__call__.html#numpy.polynomial.legendre.Legendre.__call__,numpy,method,numpy.vectorize
numpy.polynomial.laguerre.Laguerre.__call__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.laguerre.Laguerre.__call__.html#numpy.polynomial.laguerre.Laguerre.__call__,numpy,method,numpy.polynomial.polynomial.Polynomial
numpy.polynomial.hermite_e.HermiteE.__call__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.hermite_e.HermiteE.__call__.html#numpy.polynomial.hermite_e.HermiteE.__call__,numpy,method,numpy.ndarray
numpy.polynomial.polynomial.Polynomial.__call__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.polynomial.Polynomial.__call__.html#numpy.polynomial.polynomial.Polynomial.__call__,numpy,method,numpy.polynomial.legendre.Legendre
numpy.polynomial.hermite.Hermite.__call__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.hermite.Hermite.__call__.html#numpy.polynomial.hermite.Hermite.__call__,numpy,method,numpy.random.RandomState
numpy.ma.MaskedArray.__copy__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.MaskedArray.__copy__.html#numpy.ma.MaskedArray.__copy__,numpy,method,numpy.random
numpy.polynomial.chebyshev.Chebyshev.__call__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.polynomial.chebyshev.Chebyshev.__call__.html#numpy.polynomial.chebyshev.Chebyshev.__call__,numpy,method,numpy.ma.MaskedArray
numpy.ma.MaskedArray.__deepcopy__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.MaskedArray.__deepcopy__.html#numpy.ma.MaskedArray.__deepcopy__,numpy,method,numpy.core.defchararray.chararray
numpy.poly1d.__call__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.poly1d.__call__.html#numpy.poly1d.__call__,numpy,method,numpy.chararray
numpy.nditer.remove_axis,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.nditer.remove_axis.html#numpy.nditer.remove_axis,numpy,method,numpy.core.defchararray
numpy.random.zipf,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.random.zipf.html#numpy.random.zipf,numpy,method,numpy.matlib
numpy.core.defchararray.zfill,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.core.defchararray.zfill.html#numpy.core.defchararray.zfill,numpy,method,numpy.distutils.misc_util
numpy.ndarray.__array_wrap__,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ndarray.__array_wrap__.html#numpy.ndarray.__array_wrap__,numpy,method,numpy
numpy.zeros_like,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.zeros_like.html#numpy.zeros_like,numpy,method,numpy
numpy.random.wald,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.random.wald.html#numpy.random.wald,numpy,method,numpy.ma
numpy.random.RandomState.zipf,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.random.RandomState.zipf.html#numpy.random.RandomState.zipf,numpy,method,numpy.random.RandomState
numpy.matlib.zeros,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.matlib.zeros.html#numpy.matlib.zeros,numpy,method,numpy.random
numpy.core.defchararray.chararray.zfill,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.core.defchararray.chararray.zfill.html#numpy.core.defchararray.chararray.zfill,numpy,method,numpy
numpy.chararray.zfill,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.chararray.zfill.html#numpy.chararray.zfill,numpy,method,numpy
numpy.zeros,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.zeros.html#numpy.zeros,numpy,method,numpy.random.RandomState
numpy.distutils.misc_util.yellow_text,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.distutils.misc_util.yellow_text.html#numpy.distutils.misc_util.yellow_text,numpy,method,numpy.random
numpy.ma.where,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.ma.where.html#numpy.ma.where,numpy,method,numpy
numpy.where,http://docs.scipy.org/doc/numpy-1.10.1/reference/generated/numpy.where.html#numpy.where,numpy,method,numpy.random.RandomState
